Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3481,100336 (3481),"9/30/2017 - 12/31/2017, Every day, Daily Average",1371,1027,1829
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3482,100375 (3482),"9/30/2017 - 12/31/2017, Every day, Daily Average",1512,1147,1992
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3483,406985 (3483),"9/30/2017 - 12/31/2017, Every day, Daily Average",1293,884,1889
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3484,406657 (3484),"9/30/2017 - 12/31/2017, Every day, Daily Average",1351,963,1895
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3485,100233 (3485),"9/30/2017 - 12/31/2017, Every day, Daily Average",1304,960,1769
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3486,406672 (3486),"9/30/2017 - 12/31/2017, Every day, Daily Average",1407,1025,1930
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3487,406642 (3487),"9/30/2017 - 12/31/2017, Every day, Daily Average",1487,1053,2098
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3488,100341 (3488),"9/30/2017 - 12/31/2017, Every day, Daily Average",1211,884,1658
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3489,100255 (3489),"9/30/2017 - 12/31/2017, Every day, Daily Average",993,723,1363
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3490,406997 (3490),"9/30/2017 - 12/31/2017, Every day, Daily Average",1571,1099,2245
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3493,406771 (3493),"9/30/2017 - 12/31/2017, Every day, Daily Average",1384,957,2000
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3494,100252 (3494),"9/30/2017 - 12/31/2017, Every day, Daily Average",883,628,1241
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3495,406983 (3495),"9/30/2017 - 12/31/2017, Every day, Daily Average",1494,1075,2075
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3496,100241 (3496),"9/30/2017 - 12/31/2017, Every day, Daily Average",970,688,1367
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3497,100342 (3497),"9/30/2017 - 12/31/2017, Every day, Daily Average",1316,971,1782
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3498,407002 (3498),"9/30/2017 - 12/31/2017, Every day, Daily Average",1546,1100,2171
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3501,100372 (3501),"9/30/2017 - 12/31/2017, Every day, Daily Average",1503,1138,1984
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3502,407004 (3502),"9/30/2017 - 12/31/2017, Every day, Daily Average",1249,875,1781
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3504,100343 (3504),"9/30/2017 - 12/31/2017, Every day, Daily Average",1392,1045,1852
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3505,100232 (3505),"9/30/2017 - 12/31/2017, Every day, Daily Average",1157,838,1596
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3507,100374 (3507),"9/30/2017 - 12/31/2017, Every day, Daily Average",1580,1211,2060
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3509,100256 (3509),"9/30/2017 - 12/31/2017, Every day, Daily Average",942,683,1297
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3510,406620 (3510),"9/30/2017 - 12/31/2017, Every day, Daily Average",1535,1138,2068
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3511,406793 (3511),"9/30/2017 - 12/31/2017, Every day, Daily Average",1534,1108,2122
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3513,100344 (3513),"9/30/2017 - 12/31/2017, Every day, Daily Average",1463,1106,1934
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3514,406656 (3514),"9/30/2017 - 12/31/2017, Every day, Daily Average",1328,964,1829
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3515,406653 (3515),"9/30/2017 - 12/31/2017, Every day, Daily Average",1437,1017,2028
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3520,100176 (3520),"9/30/2017 - 12/31/2017, Every day, Daily Average",923,662,1286
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3523,100373 (3523),"9/30/2017 - 12/31/2017, Every day, Daily Average",1569,1191,2066
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3524,100171 (3524),"9/30/2017 - 12/31/2017, Every day, Daily Average",939,676,1303
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3531,406615 (3531),"9/30/2017 - 12/31/2017, Every day, Daily Average",1435,1063,1936
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3533,100242 (3533),"9/30/2017 - 12/31/2017, Every day, Daily Average",980,683,1405
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3534,100183 (3534),"9/30/2017 - 12/31/2017, Every day, Daily Average",868,607,1239
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3535,407003 (3535),"9/30/2017 - 12/31/2017, Every day, Daily Average",1488,1062,2084
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3536,406982 (3536),"9/30/2017 - 12/31/2017, Every day, Daily Average",1225,851,1762
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3538,100181 (3538),"9/30/2017 - 12/31/2017, Every day, Daily Average",1017,703,1471
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3539,100351 (3539),"9/30/2017 - 12/31/2017, Every day, Daily Average",1175,852,1619
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3540,100221 (3540),"9/30/2017 - 12/31/2017, Every day, Daily Average",1131,823,1553
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3543,100243 (3543),"9/30/2017 - 12/31/2017, Every day, Daily Average",918,623,1352
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3544,406651 (3544),"9/30/2017 - 12/31/2017, Every day, Daily Average",1475,1040,2090
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3545,100354 (3545),"9/30/2017 - 12/31/2017, Every day, Daily Average",1296,949,1768
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3546,100162 (3546),"9/30/2017 - 12/31/2017, Every day, Daily Average",792,561,1117
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3547,100163 (3547),"9/30/2017 - 12/31/2017, Every day, Daily Average",789,524,1187
